시군구,번지,본번,부번,아파트명,전용면적(㎡),계약년월,계약일,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지,"k-단지분류(아파트,주상복합등등)",k-전화번호,k-팩스번호,단지소개기존clob,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,target
서울특별시 노원구 상계동,1272,1272.0,0.0,수락현대,84.87,201703,27,5,1995,동일로242길 95,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35700
서울특별시 영등포구 여의도동,47,47.0,0.0,여의도자이,148.94,201804,10,22,2008,여의동로3길 10,, ,-,-,아파트,027610508,027610509,2269.0,분양,직영,계단식,지역난방,4.0,580.0,GS건설(주),여의도한성재건축조합,2008-04-29 00:00:00.0,203904.0,92652.0,114803.0,0.0,0.0,76.0,,,,2023-09-26 12:14:51.0,,위탁,종합계약,위탁,5015.08,1382.0,의무,2015-10-05 11:59:47.0,Y,N,126.925912,37.5182033,2013-03-07 09:46:53.0,156000
서울특별시 송파구 문정동,145,145.0,0.0,문정시영,39.69,201601,23,9,1989,송이로31길 56,, ,-,-,아파트,024067588,24032653.0,,분양,위탁관리,복도식,지역난방,10.0,1316.0,"태영건설, 현대산업개발",서울시 건설본부,1989-03-30 00:00:00.0,81117.0,50581.0,79609.0,1316.0,0.0,0.0,,,,2023-09-20 22:10:54.0,907-00-03669-1,위탁,종합계약,위탁,0.0,329.0,의무,2013-06-23 12:47:51.0,Y,N,127.1354526,37.490605,2013-03-07 09:46:39.0,27450
서울특별시 구로구 개봉동,480,480.0,0.0,현대홈타운,115.0,201606,13,11,2001,개봉로20길 158,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46200
서울특별시 노원구 상계동,639,639.0,0.0,보람1단지,54.59,201402,12,5,1988,한글비석로 479,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500
서울특별시 강북구 번동,191,191.0,0.0,기산그린,76.08,201503,24,16,2000,월계로37길 137,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28400
서울특별시 강서구 등촌동,633-28,633.0,28.0,등촌5차보람쉬움,59.79,200804,2,3,2004,공항대로61길 43,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26500
서울특별시 강서구 방화동,852,852.0,0.0,마곡중앙하이츠,51.03,202009,15,2,1994,양천로6길 28,, ,-,-,아파트,0226634548,0226653221,1269.0,분양,위탁관리,복도식,지역난방,8.0,930.0,중앙하이츠,중앙하이츠,1994-05-14 00:00:00.0,65845.0,46610.0,65845.0,930.0,0.0,0.0,,cafe.daum.net/banghwa12/4xuQ,,2023-09-25 14:05:02.0,907-00-16769-1,위탁,단일계약,위탁,0.0,422.0,의무,2018-04-02 17:58:06.0,Y,N,126.80664,37.5697906,2013-03-07 09:46:35.0,49000
서울특별시 양천구 목동,929,929.0,0.0,목동청구한신,84.76,201504,6,11,1997,목동서로2길 22,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66000
서울특별시 강동구 상일동,476,476.0,0.0,중앙하이츠,84.23,201910,19,9,1992,구천면로 557,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000
